Category: All categories

Month,Python: (Worldwide),Java: (Worldwide),C: (Worldwide),MATLAB: (Worldwide),Assembly language: (Worldwide)
2009-04,6,45,12,5,1
2009-05,5,44,11,5,1
2009-06,5,42,10,4,1
2009-07,6,42,10,4,1
2009-08,5,40,9,3,1
2009-09,5,42,10,4,1
2009-10,6,42,11,5,1
2009-11,6,43,11,5,1
2009-12,5,40,10,4,1
2010-01,5,38,10,4,1
2010-02,5,40,10,4,1
2010-03,5,42,11,5,1
2010-04,5,43,11,5,1
2010-05,5,40,11,5,1
2010-06,5,38,10,4,1
2010-07,5,36,10,3,1
2010-08,5,37,10,3,1
2010-09,5,38,11,4,1
2010-10,5,38,11,5,1
2010-11,5,37,11,5,1
2010-12,5,35,10,4,1
2011-01,5,35,10,4,1
2011-02,5,37,11,4,1
2011-03,5,38,11,5,1
2011-04,6,37,11,5,1
2011-05,6,35,11,5,1
2011-06,5,35,11,4,1
2011-07,5,35,10,3,1
2011-08,5,37,10,3,1
2011-09,5,37,12,4,1
2011-10,6,38,12,5,1
2011-11,5,38,12,5,1
2011-12,5,35,11,4,1
2012-01,5,34,10,4,1
2012-02,5,36,11,4,1
2012-03,6,37,11,5,1
2012-04,6,36,10,5,1
2012-05,6,35,10,4,1
2012-06,5,34,10,4,1
2012-07,6,35,10,3,1
2012-08,5,36,9,3,1
2012-09,5,37,10,4,1
2012-10,6,37,11,5,1
2012-11,6,35,10,5,1
2012-12,5,33,9,4,1
2013-01,6,39,9,4,1
2013-02,6,38,9,4,1
2013-03,6,38,9,5,1
2013-04,6,39,9,5,1
2013-05,6,36,9,4,1
2013-06,6,37,9,4,1
2013-07,6,35,9,3,<1
2013-08,6,33,8,3,<1
2013-09,6,35,9,4,1
2013-10,7,39,10,5,1
2013-11,7,35,9,5,1
2013-12,6,34,9,4,1
2014-01,6,39,9,4,1
2014-02,7,37,9,4,1
2014-03,7,38,9,5,1
2014-04,7,38,9,5,1
2014-05,7,36,9,4,1
2014-06,6,35,9,4,<1
2014-07,7,36,8,3,<1
2014-08,6,35,9,3,<1
2014-09,7,34,9,4,1
2014-10,7,36,9,5,1
2014-11,7,35,9,5,1
2014-12,6,31,8,4,1
2015-01,7,32,8,4,1
2015-02,7,33,9,5,1
2015-03,8,32,8,5,1
2015-04,7,35,9,5,1
2015-05,7,31,8,4,1
2015-06,8,30,8,4,<1
2015-07,7,31,8,3,<1
2015-08,7,28,8,3,<1
2015-09,8,29,9,4,1
2015-10,8,29,9,5,1
2015-11,8,28,8,5,1
2015-12,8,26,8,4,1
2016-01,8,24,7,4,<1
2016-02,10,26,8,5,1
2016-03,10,26,8,5,1
2016-04,10,26,8,5,1
2016-05,10,25,8,4,1
2016-06,10,25,7,4,<1
2016-07,9,22,7,3,<1
2016-08,9,22,7,3,<1
2016-09,10,23,8,4,<1
2016-10,10,23,8,5,1
2016-11,12,23,8,5,1
2016-12,10,21,7,4,1
2017-01,11,22,7,4,<1
2017-02,12,23,7,5,1
2017-03,14,24,8,5,1
2017-04,12,23,7,5,1
2017-05,12,21,7,4,1
2017-06,12,20,6,4,<1
2017-07,11,20,6,3,<1
2017-08,12,19,6,3,<1
2017-09,13,21,7,4,<1
2017-10,14,20,7,5,<1
2017-11,14,22,8,5,1
2017-12,13,19,7,4,<1
2018-01,13,20,6,4,<1
2018-02,15,20,7,4,<1
2018-03,15,20,7,4,<1
2018-04,15,19,6,4,<1
2018-05,14,19,6,4,<1
2018-06,14,18,6,3,<1
2018-07,14,18,6,3,<1
2018-08,14,18,6,3,<1
2018-09,15,18,7,4,<1
2018-10,17,19,7,5,<1
2018-11,15,18,6,4,<1
2018-12,14,16,6,4,<1
2019-01,15,17,6,4,<1
2019-02,16,17,6,4,1
2019-03,17,18,6,4,1
